time,shortwave_radiation_sum,true_value
2003-04-30,55.129999999999995,1
2003-05-31,454.37,1
2003-06-30,404.24,1
2003-07-31,418.85,1
2003-08-31,437.51,1
2003-09-30,553.45,1
2003-10-31,607.55,1
2003-11-30,595.09,1
2003-12-31,617.73,1
2004-01-31,556.77,1
2004-02-29,544.18,1
2004-03-31,548.72,1
2004-04-30,450.11,1
2004-05-31,378.0,1
2004-06-30,366.05,1
2004-07-31,359.56,1
2004-08-31,529.66,1
2004-09-30,627.88,1
2004-10-31,552.43,1
2004-11-30,592.94,1
2004-12-31,643.86,1
2005-01-31,503.56,1
2005-02-28,612.49,1
2005-03-31,530.07,1
2005-04-30,480.62,1
2005-05-31,456.34999999999997,1
2005-06-30,384.71,1
2005-07-31,398.93,1
2005-08-31,536.23,1
2005-09-30,438.29,1
2005-10-31,528.63,1
2005-11-30,588.55,1
2005-12-31,638.01,1
2006-01-31,652.89,1
2006-02-28,517.15,1
2006-03-31,559.91,1
2006-04-30,475.14,1
2006-05-31,388.78,1
2006-06-30,391.08,1
2006-07-31,424.61,1
2006-08-31,502.65,1
2006-09-30,508.35,1
2006-10-31,557.75,1
2006-11-30,591.97,1
2006-12-31,578.11,1
2007-01-31,491.34,1
2007-02-28,595.89,1
2007-03-31,636.53,1
2007-04-30,484.57,1
2007-05-31,379.13,1
2007-06-30,410.55,1
2007-07-31,367.2,1
2007-08-31,510.82,1
2007-09-30,592.19,1
2007-10-31,663.77,1
2007-11-30,581.03,1
2007-12-31,653.72,1
2008-01-31,568.33,1
2008-02-29,566.12,1
2008-03-31,541.79,1
2008-04-30,419.47,1
2008-05-31,392.0,1
2008-06-30,339.5,1
2008-07-31,476.90000000000003,1
2008-08-31,459.68,1
2008-09-30,506.15,1
2008-10-31,537.26,1
2008-11-30,605.88,1
2008-12-31,647.0,1
2009-01-31,566.78,1
2009-02-28,534.65,1
2009-03-31,551.39,1
2009-04-30,484.96999999999997,1
2009-05-31,418.08,1
2009-06-30,349.73,1
2009-07-31,311.2,1
2009-08-31,471.87,1
2009-09-30,425.94,1
2009-10-31,524.42,1
2009-11-30,616.83,1
2009-12-31,548.35,1
2010-01-31,548.1,1
2010-02-28,590.44,1
2010-03-31,565.25,1
2010-04-30,447.83,1
2010-05-31,409.06,1
2010-06-30,387.71,1
2010-07-31,402.46,1
2010-08-31,502.35,1
2010-09-30,503.14,1
2010-10-31,581.71,1
2010-11-30,606.41,1
2010-12-31,588.71,1
2011-01-31,573.9,1
2011-02-28,535.53,1
2011-03-31,418.62,1
2011-04-30,459.24,1
2011-05-31,408.36,1
2011-06-30,397.99,1
2011-07-31,394.33,1
2011-08-31,444.16,1
2011-09-30,614.13,1
2011-10-31,570.0,1
2011-11-30,623.09,1
2011-12-31,651.6,1
2012-01-31,605.79,1
2012-02-29,609.4,1
2012-03-31,612.84,1
2012-04-30,434.18,1
2012-05-31,381.73,1
2012-06-30,286.97,1
2012-07-31,412.92,1
2012-08-31,552.8100000000001,1
2012-09-30,572.09,1
2012-10-31,665.28,1
2012-11-30,591.33,1
2012-12-31,625.56,1
2013-01-31,544.76,1
2013-02-28,563.26,1
2013-03-31,517.22,1
2013-04-30,475.65999999999997,1
2013-05-31,403.92,1
2013-06-30,316.52,1
2013-07-31,367.32,1
2013-08-31,501.65999999999997,1
2013-09-30,527.53,1
2013-10-31,546.02,1
2013-11-30,603.42,1
2013-12-31,706.89,1
2014-01-31,784.56,1
2014-02-28,640.4,1
2014-03-31,582.8,1
2014-04-30,477.36,1
2014-05-31,404.42,1
2014-06-30,358.90999999999997,1
2014-07-31,368.53,1
2014-08-31,497.12,1
2014-09-30,559.73,1
2014-10-31,710.26,1
2014-11-30,579.84,1
2014-12-31,648.1,1
2015-01-31,719.32,1
2015-02-28,545.25,1
2015-03-31,507.38,1
2015-04-30,442.88,1
2015-05-31,363.73,1
2015-06-30,347.46,1
2015-07-31,352.18,1
2015-08-31,519.5,1
2015-09-30,497.63,1
2015-10-31,605.29,1
2015-11-30,499.13,1
2015-12-31,565.19,1
2016-01-31,588.21,1
2016-02-29,538.59,1
2016-03-31,547.12,1
2016-04-30,532.02,1
2016-05-31,371.39,1
2016-06-30,345.24,1
2016-07-31,443.77,1
2016-08-31,470.41,1
2016-09-30,550.8,1
2016-10-31,590.22,1
2016-11-30,592.06,1
2016-12-31,697.33,1
2017-01-31,566.86,1
2017-02-28,645.9399999999999,1
2017-03-31,558.16,1
2017-04-30,417.13,1
2017-05-31,376.42,1
2017-06-30,377.25,1
2017-07-31,447.55,1
2017-08-31,442.4,1
2017-09-30,662.61,1
2017-10-31,583.58,1
2017-11-30,609.21,1
2017-12-31,611.49,1
2018-01-31,584.71,1
2018-02-28,567.23,1
2018-03-31,560.25,1
2018-04-30,523.4,1
2018-05-31,447.68,1
2018-06-30,321.18,1
2018-07-31,421.59000000000003,1
2018-08-31,434.07,1
2018-09-30,523.47,1
2018-10-31,491.78,1
2018-11-30,532.87,1
2018-12-31,740.34,1
2019-01-31,727.26,1
2019-02-28,532.69,1
2019-03-31,558.96,1
2019-04-30,478.87,1
2019-05-31,402.86,1
2019-06-30,398.76,1
2019-07-31,434.63,1
2019-08-31,453.57,1
2019-09-30,521.63,1
2019-10-31,675.17,1
2019-11-30,580.29,1
2019-12-31,636.33,1
2020-01-31,608.8,1
2020-02-29,443.83,1
2020-03-31,605.64,1
2020-04-30,544.61,1
2020-05-31,453.53,1
2020-06-30,355.29,1
2020-07-31,427.6,1
2020-08-31,490.21999999999997,1
2020-09-30,584.2,1
2020-10-31,637.09,1
2020-11-30,685.08,1
2020-12-31,616.32,1
2021-01-31,626.25,1
2021-02-28,561.52,1
2021-03-31,609.4300000000001,1
2021-04-30,497.06,1
2021-05-31,427.71999999999997,1
2021-06-30,348.87,1
2021-07-31,460.09,1
2021-08-31,478.58,1
2021-09-30,589.04,1
2021-10-31,453.3,1
2021-11-30,683.08,1
2021-12-31,665.6,1
2022-01-31,581.42,1
2022-02-28,588.36,1
2022-03-31,532.46,1
2022-04-30,473.4,1
2022-05-31,415.76,1
2022-06-30,353.39,1
2022-07-31,455.27,1
2022-08-31,461.16,1
2022-09-30,472.79,1
2022-10-31,631.3199999999999,1
2022-11-30,667.59,1
2022-12-31,603.27,1
2023-01-31,595.2,1
2023-02-28,493.24,1
2023-03-31,609.65,1
2023-04-30,238.02,1
2023-05-31,422.3021094044758,0
2023-06-30,373.5055759590616,0
2023-07-31,422.50326702123357,0
2023-08-31,498.8488457300405,0
2023-09-30,541.9937159328391,0
2023-10-31,631.472688773351,0
2023-11-30,632.460915477899,0
2023-12-31,648.0171045071653,0
2024-01-31,632.9101429272885,0
2024-02-29,552.3985261158675,0
2024-03-31,543.5278190760246,0
2024-04-30,453.874030687616,0
2024-05-31,407.5116210714761,0
2024-06-30,362.07069263808455,0
2024-07-31,427.53668989012345,0
2024-08-31,498.16778965364597,0
2024-09-30,534.6015419375352,0
2024-10-31,584.1724032602765,0
2024-11-30,627.9411936535132,0
2024-12-31,609.9430518584231,0
2025-01-31,612.5915043388857,0
2025-02-28,522.3496553596075,0
2025-03-31,554.8977682762076,0
2025-04-30,461.4404676000013,0
2025-05-31,401.4083356459383,0
2025-06-30,365.41536784064965,0
2025-07-31,421.3149265581344,0
2025-08-31,483.8340506894657,0
2025-09-30,510.96435530344473,0
2025-10-31,608.1869139343474,0
2025-11-30,611.4536988936717,0
2025-12-31,587.7263106298446,0
2026-01-31,567.0013041819477,0
2026-02-28,552.9717270781489,0
2026-03-31,531.4757392395284,0
2026-04-30,407.1478057847577,0
2026-05-31,414.4991465031556,0
2026-06-30,405.0915893279912,0
2026-07-31,429.6819413115721,0
2026-08-31,499.48955975692047,0
2026-09-30,555.9691966201655,0
2026-10-31,590.1238687201752,0
2026-11-30,587.0567676954348,0
2026-12-31,597.0572363319584,0
2027-01-31,574.1746363744053,0
2027-02-28,518.0947050991592,0
2027-03-31,535.0174273277368,0
2027-04-30,467.9945155605265,0
2027-05-31,426.060735789389,0
2027-06-30,405.0915893279912,0
2027-07-31,429.6819413115721,0
2027-08-31,499.48955975692047,0
2027-09-30,555.9691966201655,0
2027-10-31,590.1238687201752,0
2027-11-30,587.0567676954348,0
2027-12-31,597.0572363319584,0
2028-01-31,574.1746363744053,0
2028-02-29,518.0947050991592,0
2028-03-31,535.0174273277368,0
2028-04-30,467.9945155605265,0
